Web Search interest: hon dota 2
Worldwide Mar-Apr 2014

Interest over time
Week,hon dota 2
2014-03-02 - 2014-03-08,64
2014-03-09 - 2014-03-15,77
2014-03-16 - 2014-03-22,70
2014-03-23 - 2014-03-29,80
2014-03-30 - 2014-04-05,65
2014-04-06 - 2014-04-12,82
2014-04-13 - 2014-04-19,76
2014-04-20 - 2014-04-26,76
2014-04-27 - 2014-05-03,100









