Web Search interest: smite youtube
Worldwide Nov-Dec 2015

Interest over time
Day,smite youtube
2015-11-01,0
2015-11-02,0
2015-11-03,0
2015-11-04,84
2015-11-05,84
2015-11-06,84
2015-11-07,84
2015-11-08,84
2015-11-09,84
2015-11-10,87
2015-11-11,91
2015-11-12,94
2015-11-13,97
2015-11-14,100
2015-11-15,97
2015-11-16,80
2015-11-17,80
2015-11-18,80
2015-11-19,81
2015-11-20,82
2015-11-21,83
2015-11-22,83
2015-11-23,84
2015-11-24,84
2015-11-25,0
2015-11-26,0
2015-11-27,0
2015-11-28,0
2015-11-29,0
2015-11-30,0
2015-12-01,0
2015-12-02,0
2015-12-03,0
2015-12-04,0
2015-12-05,0
2015-12-06,0
2015-12-07,0
2015-12-08,0
2015-12-09,0
2015-12-10,0
2015-12-11,0
2015-12-12,0
2015-12-13,0
2015-12-14,0
2015-12-15,0
2015-12-16,0
2015-12-17,0
2015-12-18,0
2015-12-19,0
2015-12-20,0
2015-12-21,0
2015-12-22,0
2015-12-23,0
2015-12-24, 
2015-12-25, 









