Web Search interest: overwatch beta key
Worldwide Nov-Dec 2015

Interest over time
Day,overwatch beta key
2015-11-01,100
2015-11-02,80
2015-11-03,61
2015-11-04,59
2015-11-05,48
2015-11-06,53
2015-11-07,62
2015-11-08,64
2015-11-09,36
2015-11-10,36
2015-11-11,42
2015-11-12,30
2015-11-13,25
2015-11-14,37
2015-11-15,32
2015-11-16,23
2015-11-17,23
2015-11-18,23
2015-11-19,33
2015-11-20,42
2015-11-21,37
2015-11-22,37
2015-11-23,23
2015-11-24,23
2015-11-25,23
2015-11-26,0
2015-11-27,0
2015-11-28,0
2015-11-29,0
2015-11-30,0
2015-12-01,0
2015-12-02,0
2015-12-03,0
2015-12-04,0
2015-12-05,0
2015-12-06,0
2015-12-07,0
2015-12-08,0
2015-12-09,0
2015-12-10,0
2015-12-11,0
2015-12-12,0
2015-12-13,0
2015-12-14,0
2015-12-15,0
2015-12-16,0
2015-12-17,0
2015-12-18,0
2015-12-19,0
2015-12-20,0
2015-12-21,0
2015-12-22,0
2015-12-23,0
2015-12-24,0
2015-12-25, 
2015-12-26, 









